,OBJECTID,ARREST_DATE,TOP_CHARGE_DESC,HOME_PSA,CRIME_PSA,District
28,29,2011-01-04T00:00:00.000Z,Fugitive from Justice,602,101,1
29,30,2011-01-04T00:00:00.000Z,Assault w/Intent to Rob,302,402,4
31,32,2011-01-05T00:00:00.000Z,Fugitive from Justice,302,101,1
32,33,2011-01-05T00:00:00.000Z,Juvenile Custody Order - Court Charge,501,307,3
33,34,2011-01-05T00:00:00.000Z,Fugitive from Justice,402,502,5
34,35,2011-01-05T00:00:00.000Z,Fugitive from Justice,402,502,5
35,36,2011-01-05T00:00:00.000Z,Robbery -- Force & Violence,602,103,1
36,37,2011-01-05T00:00:00.000Z,Possession of Prohibited Weapon (A) (Blackjack Gun Knife),302,305,3
37,38,2011-01-05T00:00:00.000Z,UCSA PWID Cocaine (Crack),405,701,7
38,39,2011-01-05T00:00:00.000Z,Carjacking -- Armed,604,602,6
39,40,2011-01-05T00:00:00.000Z,Robbery - Purse snatch (Force) $1-$49.99,602,602,6
40,41,2011-01-05T00:00:00.000Z,Metro Fare Evasion,403,705,7
41,42,2011-01-05T00:00:00.000Z,UCSA Possession Marijuana,706,601,6
42,43,2011-01-05T00:00:00.000Z,Fugitive from Justice,705,103,1
44,45,2011-01-06T00:00:00.000Z,Juvenile Custody Order - Court Charge,,501,5
45,46,2011-01-06T00:00:00.000Z,Assault w/Intent to Rob,403,704,7
46,47,2011-01-06T00:00:00.000Z,Destruction of Property (Felony),602,602,6
47,48,2011-01-06T00:00:00.000Z,Simple Asssault,,606,6
48,49,2011-01-06T00:00:00.000Z,Assault on Police Officer (Not MPD)/Correction Officer,501,302,3
49,50,2011-01-06T00:00:00.000Z,UCSA PWID Other,601,604,6
50,51,2011-01-06T00:00:00.000Z,Assault on Member of Police or Fire Dept (Armed or Otherwise),105,101,1
51,52,2011-01-07T00:00:00.000Z,Shoplifting,107,104,1
52,53,2011-01-07T00:00:00.000Z,Threats to Bodily Harm,701,701,7
53,54,2011-01-07T00:00:00.000Z,Fugitive from Justice,,702,7
54,55,2011-01-07T00:00:00.000Z,Fugitive from Justice,701,101,1
55,56,2011-01-07T00:00:00.000Z,Possession of Prohibited Weapon (A) (Blackjack Gun Knife),403,402,4
56,57,2011-01-07T00:00:00.000Z,Assault w/Intent to Rob,402,402,4
57,58,2011-01-07T00:00:00.000Z,Juvenile Custody Order - Court Charge,,106,1
58,59,2011-01-07T00:00:00.000Z,Juvenile Custody Order - Court Charge,,101,1
59,60,2011-01-07T00:00:00.000Z,Disorderly Conduct in Public Building,501,101,1
60,61,2011-01-08T00:00:00.000Z,Unlawful Entry on Property,505,703,7
61,62,2011-01-08T00:00:00.000Z,Assault w/Intent to Rob,504,504,5
62,63,2011-01-08T00:00:00.000Z,Assault w/Intent to Rob,504,103,1
63,64,2011-01-08T00:00:00.000Z,Assault w/Intent to Rob,501,103,1
64,65,2011-01-08T00:00:00.000Z,Simple Asssault,606,606,6
65,66,2011-01-08T00:00:00.000Z,Unauthorized Use of Vehicle,604,107,1
66,67,2011-01-08T00:00:00.000Z,Threats (Felony),602,603,6
67,68,2011-01-08T00:00:00.000Z,Simple Asssault,404,404,4
68,69,2011-01-09T00:00:00.000Z,Unlawful Entry on Property,106,101,1
69,70,2011-01-09T00:00:00.000Z,Simple Asssault,604,703,7
70,71,2011-01-09T00:00:00.000Z,Unlawful Entry on Property,101,101,1
71,72,2011-01-10T00:00:00.000Z,Unauthorized Use of Vehicle (Driver),403,602,6
72,73,2011-01-10T00:00:00.000Z,Simple Asssault,304,304,3
73,74,2011-01-10T00:00:00.000Z,Threats (Felony),607,607,6
74,75,2011-01-10T00:00:00.000Z,Absconder,502,502,5
75,76,2011-01-10T00:00:00.000Z,Unauthorized Use of Vehicle (Driver),604,604,6
76,77,2011-01-10T00:00:00.000Z,Juvenile Custody Order - Court Charge,404,404,4
77,78,2011-01-10T00:00:00.000Z,Robbery - Purse snatch (No Force) $100 & Over,704,201,2
78,79,2011-01-10T00:00:00.000Z,Robbery - Purse snatch (No Force) $100 & Over,,201,2
79,80,2011-01-10T00:00:00.000Z,Juvenile Custody Order - Court Charge,402,402,4
80,81,2011-01-11T00:00:00.000Z,Destruction of Property (Misdemeanor),505,505,5
81,82,2011-01-11T00:00:00.000Z,Juvenile Custody Order - Court Charge,604,604,6
82,83,2011-01-11T00:00:00.000Z,Contempt of Court,402,402,4
83,84,2011-01-11T00:00:00.000Z,Robbery of Individul w/Gun,402,401,4
84,85,2011-01-11T00:00:00.000Z,Robbery/Attempt to Commit Robbery,706,706,7
85,86,2011-01-12T00:00:00.000Z,Unauthorized Use of Vehicle (Driver),402,502,5
86,87,2011-01-12T00:00:00.000Z,Unauthorized Use of Vehicle (Passenger),402,502,5
87,88,2011-01-12T00:00:00.000Z,UCSA PWID Cocaine (Crack),701,703,7
88,89,2011-01-12T00:00:00.000Z,Disorderly Conduct (Affrays),605,605,6
89,90,2011-01-12T00:00:00.000Z,Simple Asssault,601,601,6
90,91,2011-01-12T00:00:00.000Z,Simple Asssault,704,704,7
91,92,2011-01-12T00:00:00.000Z,Unlawful Entry on Property,,704,7
92,93,2011-01-12T00:00:00.000Z,Simple Asssault,703,703,7
93,94,2011-01-12T00:00:00.000Z,Simple Asssault,703,703,7
94,95,2011-01-12T00:00:00.000Z,Simple Asssault,604,602,6
95,96,2011-01-12T00:00:00.000Z,Unlawful Entry on Property,604,302,3
96,97,2011-01-12T00:00:00.000Z,Simple Asssault,701,603,6
97,98,2011-01-12T00:00:00.000Z,Juvenile Custody Order - Prepetition,602,602,6
98,99,2011-01-12T00:00:00.000Z,Possession of Prohibited Weapons (B),402,403,4
99,100,2011-01-12T00:00:00.000Z,Simple Asssault,704,604,6
100,101,2011-01-12T00:00:00.000Z,Simple Asssault,602,604,6
101,102,2011-01-13T00:00:00.000Z,Simple Asssault,504,304,3
102,103,2011-01-13T00:00:00.000Z,Assault w/Intent to Rob,504,504,5
103,104,2011-01-13T00:00:00.000Z,Absconder,103,103,1
104,105,2011-01-13T00:00:00.000Z,Absconder,705,208,2
105,106,2011-01-13T00:00:00.000Z,Unauthorized Use of Vehicle (Passenger),,703,7
106,107,2011-01-13T00:00:00.000Z,UCSA PWID Cocaine,605,606,6
107,108,2011-01-13T00:00:00.000Z,Simple Asssault,304,302,3
108,109,2011-01-13T00:00:00.000Z,Simple Asssault,304,302,3
109,110,2011-01-13T00:00:00.000Z,UCSA Possession Marijuana,604,604,6
110,111,2011-01-13T00:00:00.000Z,UCSA PWID Marijuana,602,602,6
111,112,2011-01-13T00:00:00.000Z,Disorderly Conduct (Affrays),403,403,4
112,113,2011-01-13T00:00:00.000Z,Disorderly Conduct (Affrays),403,403,4
113,114,2011-01-13T00:00:00.000Z,CSA PWID Marijuana,402,402,4
114,115,2011-01-13T00:00:00.000Z,CSA PWID Marijuana,,402,4
115,116,2011-01-13T00:00:00.000Z,CSA PWID Marijuana,501,402,4
116,117,2011-01-13T00:00:00.000Z,Simple Asssault,402,402,4
117,118,2011-01-13T00:00:00.000Z,Unlawful Entry on Property,701,104,1
118,119,2011-01-13T00:00:00.000Z,Shoplifting,504,504,5
119,120,2011-01-13T00:00:00.000Z,Shoplifting,,504,5
120,121,2011-01-13T00:00:00.000Z,Destruction of Property (Misdemeanor),602,604,6
122,123,2011-01-14T00:00:00.000Z,Simple Asssault,402,404,4
123,124,2011-01-14T00:00:00.000Z,Simple Asssault,604,604,6
124,125,2011-01-14T00:00:00.000Z,Assault w/Intent to Rob,,305,3
125,126,2011-01-15T00:00:00.000Z,Simple Asssault,602,602,6
126,127,2011-01-15T00:00:00.000Z,Absconder,304,304,3
127,128,2011-01-15T00:00:00.000Z,Simple Asssault,706,706,7
128,129,2011-01-15T00:00:00.000Z,Carrying Dangerous Weapon (CDW) or Knife,403,405,4
129,130,2011-01-15T00:00:00.000Z,Unauthorized Use of Vehicle (Passenger),403,402,4
130,131,2011-01-15T00:00:00.000Z,Unauthorized Use of Vehicle (Passenger),403,402,4
131,132,2011-01-15T00:00:00.000Z,No Permit,403,402,4
132,133,2011-01-15T00:00:00.000Z,Unauthorized Use of Vehicle (Driver),403,402,4
133,134,2011-01-15T00:00:00.000Z,Assault w/Intent to Rob,,305,3
134,135,2011-01-16T00:00:00.000Z,No Permit,403,403,4
135,136,2011-01-16T00:00:00.000Z,Unauthorized Use of Vehicle (Driver),403,403,4
136,137,2011-01-16T00:00:00.000Z,Robbery -- Force & Violence,404,404,4
137,138,2011-01-16T00:00:00.000Z,Simple Asssault,404,706,7
138,139,2011-01-16T00:00:00.000Z,No Permit,604,604,6
139,140,2011-01-16T00:00:00.000Z,Unauthorized Use of Vehicle (Driver),604,604,6
140,141,2011-01-16T00:00:00.000Z,Juvenile Custody Order - Court Charge,704,501,5
141,142,2011-01-16T00:00:00.000Z,Robbery -- Force & Violence,607,505,5
142,143,2011-01-16T00:00:00.000Z,Robbery -- Force & Violence,103,505,5
143,144,2011-01-17T00:00:00.000Z,Failure to Appear,604,604,6
144,145,2011-01-18T00:00:00.000Z,Other Misdemeanor Offense,501,501,5
145,146,2011-01-18T00:00:00.000Z,Assault on Member of Police or Fire Dept (Armed or Otherwise),504,102,1
146,147,2011-01-18T00:00:00.000Z,Absconder,102,102,1
147,148,2011-01-18T00:00:00.000Z,Assault on Member of Police or Fire Dept (Armed or Otherwise),505,102,1
148,149,2011-01-18T00:00:00.000Z,Unauthorized Use of Vehicle (Driver),703,703,7
149,150,2011-01-18T00:00:00.000Z,Absconder,705,705,7
150,151,2011-01-18T00:00:00.000Z,Juvenile Custody Order - Court Charge,705,702,7
151,152,2011-01-18T00:00:00.000Z,Juvenile Custody Order - Prepetition,502,705,7
152,153,2011-01-18T00:00:00.000Z,Destruction of Property (Misdemeanor),302,302,3
153,154,2011-01-18T00:00:00.000Z,Absconder,601,601,6
154,155,2011-01-18T00:00:00.000Z,UCSA PWID Marijuana,704,604,6
155,156,2011-01-18T00:00:00.000Z,Absconder,404,403,4
156,157,2011-01-18T00:00:00.000Z,Assault on Member of Police or Fire Dept (Armed or Otherwise),701,104,1
157,158,2011-01-18T00:00:00.000Z,Obstructing Justice,,104,1
159,160,2011-01-19T00:00:00.000Z,Juvenile Custody Order - Court Charge,706,102,1
160,161,2011-01-19T00:00:00.000Z,Absconder,208,101,1
161,162,2011-01-19T00:00:00.000Z,Shoplifting,703,101,1
162,163,2011-01-19T00:00:00.000Z,Shoplifting,704,101,1
163,164,2011-01-19T00:00:00.000Z,Possession of Prohibited Weapons (B),505,501,5
164,165,2011-01-19T00:00:00.000Z,Unauthorized Use of Vehicle (Driver),603,102,1
165,166,2011-01-19T00:00:00.000Z,Disorderly Conduct (Affrays),505,607,6
166,167,2011-01-19T00:00:00.000Z,Disorderly Conduct (Affrays),703,607,6
167,168,2011-01-19T00:00:00.000Z,Disorderly Conduct (Affrays),604,607,6
168,169,2011-01-19T00:00:00.000Z,Disorderly Conduct (Affrays),703,607,6
169,170,2011-01-19T00:00:00.000Z,Disorderly Conduct (Affrays),701,607,6
170,171,2011-01-19T00:00:00.000Z,Theft 2nd Degree,602,305,3
171,172,2011-01-19T00:00:00.000Z,Absconder,701,602,6
172,173,2011-01-19T00:00:00.000Z,Juvenile Custody Order - Court Charge,706,706,7
173,174,2011-01-19T00:00:00.000Z,UCSA PWID Marijuana,602,602,6
174,175,2011-01-19T00:00:00.000Z,UCSA PWID Marijuana,602,602,6
175,176,2011-01-19T00:00:00.000Z,Fugitive from Justice,501,402,4
176,177,2011-01-19T00:00:00.000Z,Juvenile Custody Order - Court Charge,702,101,1
177,178,2011-01-19T00:00:00.000Z,Juvenile Custody Order - Court Charge,706,101,1
178,179,2011-01-19T00:00:00.000Z,Burglary -- Forced Entry -- Non-Resident,706,706,7
179,180,2011-01-20T00:00:00.000Z,Destruction of Property (Misdemeanor),104,104,1
180,181,2011-01-20T00:00:00.000Z,Simple Asssault,106,103,1
181,182,2011-01-20T00:00:00.000Z,UCSA Distributing Marijuana,603,104,1
182,183,2011-01-20T00:00:00.000Z,Receiving Stolen Goods -- $100 & Over,705,705,7
183,184,2011-01-20T00:00:00.000Z,Receiving Stolen Goods -- $100 & Over,705,705,7
184,185,2011-01-20T00:00:00.000Z,Receiving Stolen Goods -- $100 & Over,705,705,7
185,186,2011-01-20T00:00:00.000Z,Possession of Prohibited Weapons (B),,403,4
186,187,2011-01-20T00:00:00.000Z,Destruction of Property (Felony),607,607,6
187,188,2011-01-20T00:00:00.000Z,Fugitive from Justice,,501,5
188,189,2011-01-20T00:00:00.000Z,Threats (Felony),706,504,5
189,190,2011-01-20T00:00:00.000Z,Theft 2nd Degree,403,403,4
190,191,2011-01-20T00:00:00.000Z,Simple Asssault,104,104,1
191,192,2011-01-21T00:00:00.000Z,UCSA PWID Marijuana,106,603,6
192,193,2011-01-21T00:00:00.000Z,Juvenile Custody Order - Court Charge,603,603,6
193,194,2011-01-21T00:00:00.000Z,Simple Asssault,603,703,7
194,195,2011-01-21T00:00:00.000Z,Unlawful Entry on Property,604,703,7
195,196,2011-01-21T00:00:00.000Z,Theft 2nd Degree,505,207,2
196,197,2011-01-21T00:00:00.000Z,Theft 2nd Degree,503,207,2
197,198,2011-01-21T00:00:00.000Z,Simple Asssault,501,501,5
198,199,2011-01-21T00:00:00.000Z,Juvenile Custody Order - Court Charge,703,702,7
199,200,2011-01-21T00:00:00.000Z,Juvenile Custody Order - Court Charge,103,103,1
200,201,2011-01-21T00:00:00.000Z,Absconder,302,403,4
201,202,2011-01-21T00:00:00.000Z,Assault on Police Officer (Not MPD)/Correction Officer,504,101,1
202,203,2011-01-21T00:00:00.000Z,Disorderly Conduct in Public Building,,101,1
203,204,2011-01-21T00:00:00.000Z,Unlawful Entry on Property,,101,1
204,205,2011-01-21T00:00:00.000Z,Simple Asssault,602,504,5
205,206,2011-01-21T00:00:00.000Z,Receiving Stolen Goods -- $100 & Over,,207,2
206,207,2011-01-21T00:00:00.000Z,Receiving Stolen Goods -- $100 & Over,605,207,2
207,208,2011-01-21T00:00:00.000Z,Unlawful Entry on Property,,303,3
208,209,2011-01-22T00:00:00.000Z,Theft 2nd Degree,,101,1
209,210,2011-01-22T00:00:00.000Z,UCSA PWID Marijuana,,206,2
210,211,2011-01-22T00:00:00.000Z,UCSA PWID Marijuana,,206,2
211,212,2011-01-23T00:00:00.000Z,Simple Asssault,703,703,7
212,213,2011-01-23T00:00:00.000Z,Simple Asssault,,302,3
213,214,2011-01-23T00:00:00.000Z,UCSA Possession Marijuana,404,403,4
215,216,2011-01-24T00:00:00.000Z,No Permit,402,501,5
216,217,2011-01-24T00:00:00.000Z,Simple Asssault,103,103,1
217,218,2011-01-24T00:00:00.000Z,Burglary -- Forced Entry -- Non-Resident,604,604,6
218,219,2011-01-24T00:00:00.000Z,Burglary -- Forced Entry -- Non-Resident,604,604,6
219,220,2011-01-24T00:00:00.000Z,UCSA Possession Marijuana,602,203,2
220,221,2011-01-24T00:00:00.000Z,Threats (Felony),504,504,5
222,223,2011-01-25T00:00:00.000Z,Possession of Prohibited Weapons (B),705,705,7
223,224,2011-01-25T00:00:00.000Z,Possession of Prohibited Weapons (B),704,704,7
224,225,2011-01-25T00:00:00.000Z,Attempt Burglary II/Attempt to Commit a Crime -- Burglary I,701,607,6
225,226,2011-01-25T00:00:00.000Z,Juvenile Custody Order - Prepetition,,505,5
226,227,2011-01-25T00:00:00.000Z,Possession of Prohibited Weapons (B),603,604,6
227,228,2011-01-25T00:00:00.000Z,Burglary -- Forced Entry -- Non-Resident,107,401,4
228,229,2011-01-25T00:00:00.000Z,Burglary -- Forced Entry -- Non-Resident,705,401,4
229,230,2011-01-25T00:00:00.000Z,Burglary -- Forced Entry -- Non-Resident,602,401,4
230,231,2011-01-25T00:00:00.000Z,Robbery of Individul w/Gun,501,308,3
231,232,2011-01-26T00:00:00.000Z,Theft 1st Degree,302,705,7
232,233,2011-01-26T00:00:00.000Z,Other Misdemeanor Offense,601,601,6
233,234,2011-01-26T00:00:00.000Z,Felony Escapee Warrant,704,602,6
234,235,2011-01-26T00:00:00.000Z,No Permit,302,302,3
235,236,2011-01-27T00:00:00.000Z,Unlawful Entry on Property,304,101,1
236,237,2011-01-27T00:00:00.000Z,UCSA Possession Marijuana,404,302,3
237,238,2011-01-27T00:00:00.000Z,Shoplifting,702,606,6
238,239,2011-01-27T00:00:00.000Z,UCSA Conspiracy to Distribute Marijuana,706,706,7
239,240,2011-01-27T00:00:00.000Z,UCSA Conspiracy to Distribute Marijuana,706,706,7
240,241,2011-01-27T00:00:00.000Z,Theft 2nd Degree,405,404,4
241,242,2011-01-27T00:00:00.000Z,Juvenile Custody Order - Court Charge,403,403,4
242,243,2011-01-27T00:00:00.000Z,Absconder,704,403,4
243,244,2011-01-27T00:00:00.000Z,Robbery -- Force & Violence,604,604,6
244,245,2011-01-27T00:00:00.000Z,Receiving Stolen Goods -- Under $100,,104,1
245,246,2011-01-28T00:00:00.000Z,Theft 2nd Degree,103,706,7
246,247,2011-01-28T00:00:00.000Z,Absconder,602,602,6
247,248,2011-01-29T00:00:00.000Z,Threats to Bodily Harm,602,101,1
248,249,2011-01-29T00:00:00.000Z,Possession Open Container of Alcohol (POCA),705,103,1
249,250,2011-01-29T00:00:00.000Z,Attempt to Commit Robbery w/Armed,102,102,1
250,251,2011-01-29T00:00:00.000Z,Attempt to Commit Robbery w/Armed,607,102,1
251,252,2011-01-29T00:00:00.000Z,Burglary -- Forced Entry -- Non-Resident,604,705,7
252,253,2011-01-29T00:00:00.000Z,Burglary -- Forced Entry -- Non-Resident,705,705,7
253,254,2011-01-29T00:00:00.000Z,Unauthorized Use of Vehicle (Driver),504,705,7
254,255,2011-01-29T00:00:00.000Z,Absconder,602,602,6
255,256,2011-01-29T00:00:00.000Z,Simple Asssault,404,404,4
256,257,2011-01-29T00:00:00.000Z,Carrying Dangerous Weapon (CDW) or Knife,706,706,7
257,258,2011-01-30T00:00:00.000Z,Assault w/Intent to Rob While Armed,504,103,1
258,259,2011-01-30T00:00:00.000Z,Assault w/Intent to Rob While Armed,504,103,1
259,260,2011-01-30T00:00:00.000Z,Unlawful Entry on Property,402,302,3
260,261,2011-01-30T00:00:00.000Z,Second Degree Child Sexual Abuse,102,705,7
261,262,2011-01-31T00:00:00.000Z,Simple Asssault,701,701,7
262,263,2011-01-31T00:00:00.000Z,Disorderly Conduct (Affrays),602,305,3
263,264,2011-01-31T00:00:00.000Z,Disorderly Conduct (Affrays),504,305,3
264,265,2011-01-31T00:00:00.000Z,Felony Escapee Warrant,305,305,3
265,266,2011-01-31T00:00:00.000Z,Simple Asssault,204,204,2
266,267,2011-01-31T00:00:00.000Z,Simple Asssault,706,705,7
267,268,2011-01-31T00:00:00.000Z,Absconder,602,602,6
268,269,2011-01-31T00:00:00.000Z,Unauthorized Use of Vehicle (Driver),604,604,6
269,270,2011-01-31T00:00:00.000Z,Juvenile Custody Order - Court Charge,,101,1
270,271,2011-01-31T00:00:00.000Z,Unauthorized Use of Vehicle (Passenger),705,705,7
271,272,2011-02-01T00:00:00.000Z,Robbery - Purse snatch (Force) $50-$99.99,703,703,7
272,273,2011-02-01T00:00:00.000Z,Theft 1st Degree,403,403,4
273,274,2011-02-01T00:00:00.000Z,Absconder,501,501,5
274,275,2011-02-01T00:00:00.000Z,Simple Asssault,501,705,7
275,276,2011-02-01T00:00:00.000Z,Robbery of Individul w/Gun,706,706,7
276,277,2011-02-01T00:00:00.000Z,Simple Asssault,503,404,4
277,278,2011-02-01T00:00:00.000Z,Simple Asssault,503,404,4
278,279,2011-02-01T00:00:00.000Z,Robbery/Other Weapon,504,101,1
279,280,2011-02-01T00:00:00.000Z,Robbery/Other Weapon,,101,1
280,281,2011-02-01T00:00:00.000Z,Threats in a Menacing Manner,706,706,7
281,282,2011-02-02T00:00:00.000Z,Juvenile Custody Order - Court Charge,307,603,6
282,283,2011-02-02T00:00:00.000Z,Burglary -- Forced Entry -- Non-Resident,702,704,7
283,284,2011-02-02T00:00:00.000Z,Burglary -- Forced Entry -- Non-Resident,706,704,7
284,285,2011-02-02T00:00:00.000Z,Felony Murder,505,701,7
285,286,2011-02-02T00:00:00.000Z,Juvenile Custody Order - Court Charge,104,702,7
286,287,2011-02-02T00:00:00.000Z,Disorderly Conduct (Affrays),106,104,1
287,288,2011-02-02T00:00:00.000Z,Juvenile Custody Order - Court Charge,,101,1
288,289,2011-02-02T00:00:00.000Z,Homicide,704,501,5
293,294,2011-02-03T00:00:00.000Z,Theft 2nd Degree,505,208,2
294,295,2011-02-03T00:00:00.000Z,Simple Asssault,402,403,4
295,296,2011-02-03T00:00:00.000Z,Simple Asssault,607,607,6
296,297,2011-02-03T00:00:00.000Z,Theft 2nd Degree,505,402,4
297,298,2011-02-03T00:00:00.000Z,Simple Asssault,104,104,1
298,299,2011-02-03T00:00:00.000Z,Assault on Member of Police or Fire Dept (Armed or Otherwise),601,401,4
299,300,2011-02-03T00:00:00.000Z,Simple Asssault,706,302,3
300,301,2011-02-03T00:00:00.000Z,Simple Asssault,602,602,6
301,302,2011-02-03T00:00:00.000Z,Juvenile Custody Order - Court Charge,202,501,5
302,303,2011-02-04T00:00:00.000Z,Simple Asssault,602,602,6
303,304,2011-02-04T00:00:00.000Z,Simple Asssault,602,602,6
306,307,2011-02-04T00:00:00.000Z,UCSA PWID Cocaine (Crack),603,603,6
307,308,2011-02-04T00:00:00.000Z,Disorderly (Disrupting Use of Public Conveyance),706,302,3
308,309,2011-02-04T00:00:00.000Z,Robbery -- Force & Violence,703,607,6
309,310,2011-02-04T00:00:00.000Z,UCSA Possession Marijuana,706,706,7
310,311,2011-02-04T00:00:00.000Z,Failure to Appear,504,102,1
312,313,2011-02-05T00:00:00.000Z,Shoplifting,,107,1
313,314,2011-02-05T00:00:00.000Z,Simple Asssault,404,404,4
314,315,2011-02-05T00:00:00.000Z,Destruction of Property (Misdemeanor),602,602,6
315,316,2011-02-05T00:00:00.000Z,Credit Card Fraud,101,101,1
316,317,2011-02-05T00:00:00.000Z,Shoplifting,,101,1
317,318,2011-02-06T00:00:00.000Z,Absconder,208,208,2
318,319,2011-02-06T00:00:00.000Z,ADW -- Knife,107,107,1
319,320,2011-02-06T00:00:00.000Z,Simple Asssault,606,606,6
320,321,2011-02-06T00:00:00.000Z,UCSA PWID Marijuana,705,705,7
323,324,2011-02-07T00:00:00.000Z,Shoplifting,103,104,1
324,325,2011-02-07T00:00:00.000Z,Simple Asssault,103,504,5
325,326,2011-02-07T00:00:00.000Z,Juvenile Custody Order - Court Charge,103,606,6
326,327,2011-02-07T00:00:00.000Z,Simple Asssault,604,602,6
327,328,2011-02-07T00:00:00.000Z,Threats (Felony),705,705,7
328,329,2011-02-07T00:00:00.000Z,Simple Asssault,601,602,6
329,330,2011-02-07T00:00:00.000Z,Felony Escapee Warrant,307,307,3
330,331,2011-02-08T00:00:00.000Z,Juvenile Custody Order - Court Charge,404,404,4
331,332,2011-02-08T00:00:00.000Z,Threats (Felony),503,502,5
332,333,2011-02-08T00:00:00.000Z,ADW -- Gun,501,501,5
333,334,2011-02-08T00:00:00.000Z,Assault w/Intent to Commit Any Other Offense,501,501,5
334,335,2011-02-08T00:00:00.000Z,Threats (Felony),101,104,1
335,336,2011-02-08T00:00:00.000Z,Juvenile Custody Order - Court Charge,602,602,6
336,337,2011-02-08T00:00:00.000Z,UCSA Possession Marijuana,,501,5
337,338,2011-02-08T00:00:00.000Z,Unauthorized Use of Vehicle (Driver),504,103,1
338,339,2011-02-08T00:00:00.000Z,Unauthorized Use of Vehicle (Passenger),504,103,1
339,340,2011-02-08T00:00:00.000Z,Simple Asssault,603,603,6
340,341,2011-02-08T00:00:00.000Z,Juvenile Custody Order - Prepetition,,202,2
341,342,2011-02-08T00:00:00.000Z,UCSA Possession Marijuana,706,706,7
342,343,2011-02-08T00:00:00.000Z,Juvenile Custody Order - Prepetition,405,405,4
343,344,2011-02-08T00:00:00.000Z,Juvenile Custody Order - Court Charge,,101,1
344,345,2011-02-08T00:00:00.000Z,Juvenile Custody Order - Prepetition,701,101,1
345,346,2011-02-08T00:00:00.000Z,Juvenile Custody Order - Prepetition,106,101,1
346,347,2011-02-08T00:00:00.000Z,Assault on Member of Police or Fire Dept (Armed or Otherwise),,102,1
347,348,2011-02-08T00:00:00.000Z,Manufacturing Possession of Explosives,505,104,1
348,349,2011-02-09T00:00:00.000Z,Robbery Pickpocket -- $100 & Over,307,304,3
349,350,2011-02-09T00:00:00.000Z,Unauthorized Use of Vehicle (Passenger),504,103,1
350,351,2011-02-09T00:00:00.000Z,Threats in a Menacing Manner,302,302,3
351,352,2011-02-09T00:00:00.000Z,Theft 2nd Degree,602,603,6
352,353,2011-02-09T00:00:00.000Z,Theft from Auto II,302,302,3
353,354,2011-02-09T00:00:00.000Z,Simple Asssault,502,706,7
354,355,2011-02-09T00:00:00.000Z,Possession of Prohibited Weapons (B),705,104,1
355,356,2011-02-09T00:00:00.000Z,Juvenile Custody Order - Court Charge,604,604,6
356,357,2011-02-10T00:00:00.000Z,Assault on Member of Police or Fire Dept (Armed or Otherwise),602,602,6
357,358,2011-02-10T00:00:00.000Z,Simple Asssault,501,501,5
358,359,2011-02-10T00:00:00.000Z,Juvenile Custody Order - Prepetition,302,302,3
359,360,2011-02-10T00:00:00.000Z,Unauthorized Use of Vehicle (Driver),704,704,7
360,361,2011-02-10T00:00:00.000Z,Juvenile Custody Order - Court Charge,607,607,6
361,362,2011-02-10T00:00:00.000Z,Felony Assault,104,203,2
362,363,2011-02-10T00:00:00.000Z,Threats to Bodily Harm,602,602,6
363,364,2011-02-10T00:00:00.000Z,Fugitive from Justice,704,604,6
